# GECK Function Index - Auto-generated from GECK wiki XML
# Format: Name | Origin | Signature | Summary | Categories
# Search this file with grep to find relevant functions.
# For full details, grep the original XML for the function name.
#
# Origins: GECK1=base game, NVSE=NVSE plugin, JIP=JIP LN NVSE, JG=JohnnyGuitar,
#          SO=ShowOff NVSE, kNVSE=kNVSE, NX=NX, Hot Reload, etc.

"componentPath<nowiki>|templateName|</nowiki>''altTileName''" | JIP | "componentPath<nowiki>|templateName|</nowiki>''altTileName''"("componentPath<nowiki>|templateName|</nowiki>''altTileName''":, formatVars(up to 20):?) -> int | Creates a new UI tile from a pre-defined Template, returning 1 on success. Function argument uses the following format:<pre> "componentPath|templateName|altTileName(optional)"</pre> | Functions (JIP); UI Functions (JIP); UI Functions; Functions_(ButcherPete FOSE); Functions (FO3)
"keyword:string" | JIP | "keyword:string"("keyword:string":) | Returns an array_var of forms associated with a specified keyword. | Functions (JIP); Keyword Functions (JIP); Array Functions
GetProjectileRefSource | JIP | reference.GetProjectileRefSource() -> source:ref | Returns the reference that fired the calling live-projectile. | Functions_(JIP); Projectile Functions (JIP); Projectile Functions
GetProjectileRefSpeedMult | JIP | reference.GetProjectileRefSpeedMult() -> speedMult:float | Returns the <i>speed multiplier</i> of the calling live-projectile. The effective speed is equal to the <i>base speed</i> (as defined in the projectile's base-form) x <i>speed multiplier</i>. | Functions_(JIP); Projectile Functions (JIP); Projectile Functions
GetProjectileRefWeapon | JIP | reference.GetProjectileRefWeapon() -> weapon:baseForm | Returns the weapon (Base Form) that fired the calling live-Projectile. | Functions_(JIP); Projectile Functions (JIP); Projectile Functions
GetProjectileTraitNumeric | JIP | GetProjectileTraitNumeric(projectile:ref, traitID:int) -> traitValue:float | Returns the value of a projectile's numeric trait (determined by <i>traitID</i>). | Functions_(JIP); Projectile Functions (JIP); Projectile Functions
GetPutdownSound | LU | GetPutdownSound(object:form) -> sound:baseform | Returns the putdown Sound form of a form. | Functions_(JIP); Sound_Functions_(JIP); Sound_Functions
GetQuestCompleted | GECK1 | GetQuestCompleted(QuestID:ref) -> int (alias: GetQC) | Returns 1 if the quest has been marked complete with CompleteQuest OR has been failed, otherwise 0. | Functions (GECK); Quest Functions; Condition Functions; Functions (FO3)
GetQuestCompletedAlt | Anh | GetQuestCompletedAlt(QuestID:ref) -> int | Returns 1 if the quest has been completed successfully (completed & not failed). | Functions (AnhNVSE); Quest Functions; Condition Functions
GetQuestFlag | JIP | GetQuestFlag(quest:form, flagID:int) -> flagValue:0/1 | Returns whether or not the specified flag (determined by <i>flagID</i>) is toggled for the specified 'Quest' form. | Functions (JIP); Quest Functions (JIP); Quest Functions; Flag Functions
GetQuestObjectiveCount | FOSE1 | GetQuestObjectiveCount(Quest:baseform) -> int (alias: GetObjectiveCount) | Returns the number of objectives for the specified Quest. | Functions_(FOSE); Functions_(NVSE); Quest Functions; Engine_Differences_(Fallout); Functions (FO3)
GetQuestVariable | GECK1 | GetQuestVariable(QuestID:ref, VarName:String) | Returns the value of a quest variable. | Functions (GECK); Quest Functions; Condition Functions; Functions (FO3)
GetRace | NVSE | Actor.GetRace(Actor:NPC?) -> race | Returns the race of the specified actor | Functions_(NVSE); Actor Functions
GetRaceBodyModelPath | JohnnyGuitar | GetRaceBodyModelPath(race:ref, modelPartID:int, isFemale:int) -> modelPath:string_var | Returns the body model path of the specified Race. Model part IDs are as follows: <pre> 0 - UpperBody 1 - LeftHand 2 - RightHand</pre> | Functions_(JohnnyGuitar NVSE); File Functions; Model Functions
GetRaceEyes | NVSE | |arguments =.GetRaceEyes(Target:race) -> array | Returns an array containing all the eyes available to the specified race. | Functions_(NVSE); Array Functions; Eye Functions
GetRaceHairs | NVSE | |arguments =.GetRaceHairs(Target:race) -> array | Returns an array containing all the Hairs available to the specified race. | Functions_(NVSE); Array Functions; Hair Functions
GetRaceHeadModelPath | JohnnyGuitar | GetRaceHeadModelPath(race:ref, modelPartID:int, isFemale:int) -> modelPath:string_var | Returns the head model path of the specified Race. Model part IDs are as follows: <pre> 0 - Head 1 - Ears 2 - Mouth 3 - TeethLower 4 - TeethUpper 5 - Tongue 6 - LeftEye 7 - RightEye</pre> | Functions_(JohnnyGuitar NVSE); File Functions; Model Functions
GetRaceName | NVSE | GetRaceName(Actor:NPC) -> string | Returns the name of the Race of the specified Actor (Base Form), as a string. | Functions_(NVSE); String Functions; Name Functions
GetRadiationExtraData | ShowOff | reference.GetRadiationExtraData() -> float | Returns the reference's Radiation ExtraData, if it has any. If it has no Radiation ExtraData, returns 0. This data is mostly used for Radiation Markers, where it determines the amount of rads gained while standing in the marker's radius. | ExtraData Functions; Functions (ShowOff NVSE)
GetRadiationLevel | GECK1 | GetRadiationLevel() -> float | Returns the radiation level in the specified actor's current environment. | Functions (GECK); Condition Functions; Actor State Functions; Functions (FO3)
GetRadiationLevelAlt | JIP | reference.GetRadiationLevelAlt() -> radLevel:float | Returns the radiation level (rads/sec) at the calling actor's current position. Unlike the vanilla GetRadiationLevel, which would only return a value when called on the player, this function may be called on <i>any</i> NPC. | Functions (JIP); Actor Functions (JIP); Actor_Functions; Condition_Functions; Functions_(ButcherPete FOSE); Functions (FO3)
GetRadioBroadcastType | LU | [talkingAcivator:reference].GetRadioBroadcastType() -> broadcastType:int | Returns the broadcast type of a radio reference. | Radio Functions; Functions_(JIP); Radio_Functions_(JIP)
GetRadioPosRef | LU | [talkingActivator:reference].GetRadioPosRef() -> reference | Returns the exterior position reference of a radius-type radio broadcast. If a radius-type radio reference is in an exterior cell, it might not have an exterior position reference set. In this case, it uses itself implicitly, and this function will not return a valid reference. Use IsFormValid to verify the return value. | Radio Functions; Functions_(JIP); Radio_Functions_(JIP)
GetRadioRadius | LU | [talkingActivator:reference].GetRadioRadius() -> float | Returns the radius of a radius-type radio broadcast. | Radio Functions; Functions_(JIP); Radio_Functions_(JIP)
GetRadioStatic | LU | [talkingActivator:ref].GetRadioStatic() -> staticPercentage:float | Returns the static percentage of a radius-type radio broadcast. | Radio Functions; Functions_(JIP); Radio_Functions_(JIP)
GetRadius | LU | reference.GetRadius(light:baseform) -> float | Returns the radius of a reference (any type) or Light BaseForm. Also works on Radiation Markers references. | Functions_(JIP); Light_Functions_(JIP); Light_Functions; ExtraData Functions
GetRandomInRange | JIP | GetRandomInRange(min:int, max:int) -> randNum:int | Similar to the vanilla function GetRandomPercent, except allows specifying a range. Returns a random integer in the interval '<i>min</i> <= x < <i>max</i>'. | Functions (JIP); Utility Functions (JIP); Math Functions
GetRandomizerSeed | ShowOff | anyReference.GetRandomizerSeed() -> int (alias: GetSeed) | Returns the [https://en.wikipedia.org/wiki/Random_seed randomizer seed] (unsigned int) for the calling mod. If no seed is set, returns -1 (no seed can be set to a negative value). *'BUG: If no seed is set, currently tries to return NAN, but that can't be represented as an int. So this behavior will be changed!' | Math Functions; Functions (ShowOff NVSE)
GetRandomPercent | GECK1 | GetRandomPercent() -> int | Returns a random integer between 0 and 99 inclusive. | Functions (GECK); Math Functions; Condition Functions; Functions (FO3)
GetRandomPercentSeeded | ShowOff | GetRandomPercentSeeded() -> int | Returns a random number between '1-100', which is based upon the [https://en.wikipedia.org/wiki/Random_seed randomizer seed] set for the calling mod. Note that GetRandomPercent generates from 0-99. If no seed is set for the calling mod, this first generates a 'default seed' (value of 5489). *'NOTE: since the default seed is constant, it will always generate the same sequence of random numbers.' (Behind the scenes, this advances the seed's internal numGenerated count so as to make the next call of RandSeeded/GetRandomPercentSeeded generate the next number in the pseudo-random sequence.) | Math Functions; Functions (ShowOff NVSE)
GetRawFormIDString | NVSE | |example = string_var formid.GetRawFormIDString(ToGet:Multi) -> string | Returns the FormID number as a string in hexadecimal for the specified ref variable or array element, regardless of whether or not it is a valid FormID. | Functions_(NVSE); ID Functions; String Functions; NVSE-Aware Functions
GetRecipeCategory | LU | GetRecipeCategory(recipe:baseform) -> category:baseform | Returns the category of a recipe form. | Functions_(JIP); Recipe_Functions_(JIP); Recipe Functions
GetRecipeInputCount | LU | GetRecipeInputCount(recipe:baseform, input:baseform) -> count:int | Returns the amount of an item required for a recipe. | Functions_(JIP); Recipe_Functions_(JIP); Recipe Functions
GetRecipeInputForms | LU | GetRecipeInputForms(recipe:baseform) -> inputBaseForms:array | Returns an array of items requried for a recipe. | Functions_(JIP); Recipe_Functions_(JIP); Array Functions; Recipe Functions
GetRecipeMenuCategory | JIP | GetRecipeMenuCategory() -> recipeCategory:ref | Returns the main <i>Recipe Category</i> of the active <i>Recipe Menu</i>. That is the type of the <i>Recipe Menu</i> (Workbench, Reloading Bench, Campfire, etc.). | Functions_(JIP); UI Functions (JIP); UI Functions; Recipe Functions; Recipe_Functions_(JIP)
GetRecipeMenuSelection | JIP | GetRecipeMenuSelection() -> recipe:ref | Returns the <i>Recipe</i> currently highlighted in the active <i>Recipe Menu</i>. | Functions_(JIP); UI Functions (JIP); UI Functions; Recipe Functions; Recipe_Functions_(JIP)
GetRecipeOutputCount | LU | GetRecipeOutputCount(recipe:baseform, output:baseform) -> count:int | Returns the amount of a form produced by a recipe. | Functions_(JIP); Recipe Functions; Recipe_Functions_(JIP)
GetRecipeOutputForms | LU | GetRecipeOutputForms(recipe:baseform) -> outputBaseForms:array | Returns an array of items produced by a recipe. | Functions_(JIP); Recipe Functions; Recipe_Functions_(JIP); Array Functions
GetRecipeRequiredSkill | LU | GetRecipeRequiredSkill(recipe:baseform) -> actorValueCode:int | Returns the actor value code of a recipe's required skill. | Functions_(JIP); Recipe Functions; Recipe_Functions_(JIP); Actor Value Functions
GetRecipeRequiredSkillLevel | LU | GetRecipeRequiredSkillLevel(recipe:baseform) -> skillLevel:int | Returns the skill level required by a recipe. | Functions_(JIP); Recipe Functions; Recipe_Functions_(JIP); Actor Value Functions
GetRecipeSubcategory | LU | GetRecipeSubcategory(recipe:baseform) -> recipeSubCategory:baseform | Returns the subcategory of a recipe form. | Functions_(JIP); Recipe Functions; Recipe_Functions_(JIP)
GetRefActivationPromptOverride | JohnnyGuitar | refr.GetRefActivationPromptOverride() -> string_var (alias: GetXATO) | Returns Activation Prompt Override value of a Reference, specified in "Activate Parents" tab in the GECK and "XATO - Activation Prompt" field in FNVEdit. | Functions (JohnnyGuitar NVSE); ExtraData Functions
GetRefCount | FOSE1 | reference.GetRefCount() -> int | Returns the count of items in a stacked reference, such as an inventory reference or a reference placed/dropped in the world. | Functions_(FOSE); Functions_(NVSE); UI Functions; Inventory Functions; Functions (FO3)
GetRefEncounterZone | JohnnyGuitar | refr.GetRefEncounterZone() -> baseform (alias: GetRefZone) | Returns Encounter Zone of a Reference. | Functions (JohnnyGuitar NVSE); Encounter_Zone_Functions
GetReferenceFlag | LU | [ref].GetReferenceFlag(flag:int) -> bool (alias: GetRefFlag) | Returns whether or not a reference has the given flag. | Functions_(JIP); Misc_Reference_Functions_(JIP); Condition_Functions; Flag Functions
GetRefExtraData | JIP | reference.GetRefExtraData(slotIndex:int, altModIndex:int?) -> special | Returns the data stored at the specified slot index of the calling reference's Extra Data, owned by: *If the function's 2nd, optional argument is omitted - the parent mod of the calling script. Otherwise - *The mod whose 'mod index' was specified. | Functions (JIP); Extra Data Functions (JIP); Misc Reference Functions (JIP)
GetRefs | NVSE | reference.GetRefs(FormTypeCode:int?, CellDepth:int?, IncludeTakenRefs:bool?, maxDistance:float?) -> array | Similar to using GetFirstRef and GetNextRef, and follows the same syntax. Returns an array containing all the references in the currently loaded cell(s), optional only of a specific form type. {{Template:GetRefsEtc_Description}} | Functions_(NVSE); Array Functions
GetRefsInCell | NVSE | reference.GetRefsInCell(Target:Cell, FormTypeCode:int?, CellDepth:int?, IncludeTakenRefs:bool?, maxDistance:float?) -> array | Similar to using GetFirstRefInCell and GetNextRef, and follows the same syntax. Returns an array containing all the references in the specified cell(s), optional only of a specific form type. {{Template:GetRefsEtc_Description}} | Functions_(NVSE); Array Functions; Cell Functions
GetRefType | JIP | reference.GetRefType() -> refType:int | Returns the Type Code of the calling reference (unlike GetType, which returns the type of the reference's <i>Base Form</i>). | Functions (JIP); Misc Reference Functions (JIP)
GetRefVariable | NVSE | ref.GetRefVariable(VarName:string, Parent:Object?) -> form | Returns the value of a 'ref' variable specified by name for the calling reference or specified scriptable object / quest. | Functions_(NVSE); Script Functions
GetRepairList | FOSE1 | reference.GetRepairList(item:baseform) -> baseForm (alias: grl) | Returns the repair list for the Item BaseForm. If item is unspecified and a calling reference is passed, that reference's BaseForm is used. | Functions_(FOSE); Functions_(NVSE); Functions (FO3)
GetRestrained | GECK1 | [Actor].GetRestrained() -> int | Returns 1 if the actor has been set to a restrained state using SetRestrained and 0 otherwise | Functions (GECK); AI_Functions; Condition_Functions; Functions (FO3)
GetReticleNode | JIP | GetReticleNode(maxRange:float?) -> nodeName:string_var | Returns the name of the 'NiNode' pointed at by the reticle (crosshair). | Functions (JIP); Miscellaneous Functions (JIP); Model Functions; Crosshair Functions
GetReticlePos | JIP | GetReticlePos() -> coords:array_var | Returns an 'array_var' containing the XYZ coordinates (indexed in that order) of the position the reticle (crosshair) is pointing at. If the position is not a valid one, the function returns 'ar_Null'. | Functions (JIP); Miscellaneous Functions (JIP); Array Functions; Crosshair Functions
GetReticlePosAlt | JIP | GetReticlePosAlt(resPosX:ScriptVar, resPosY:ScriptVar, resPosZ:ScriptVar) -> validPos:0/1 | Retrieves the XYZ coordinates of the position the reticle (crosshair) is pointing at, and outputs the results into the 3 specified 'Script Variables'. *If the position is a valid one, the function returns 1, otherwise 0. | Functions (JIP); Miscellaneous Functions (JIP); Crosshair Functions
GetReticleRange | JIP | GetReticleRange() -> range:float | Returns the distance (in game units) between the player and the position pointed at by the reticle (crosshair). If the position is not a valid one, the function returns -1. | Functions (JIP); Miscellaneous Functions (JIP); Crosshair Functions
GetRightStickX | LU | GetRightStickX() -> float (alias: GetRSX) | Returns a value ranging from -1.00 to 1.00 for the x-axis position of the right joystick. | Functions_(JIP); Controller Functions (JIP); Condition_Functions; Input Functions; Functions_(Command Extender); Functions (FO3)
GetRightStickY | LU | GetRightStickY() -> float (alias: GetRSY) | Returns a value ranging from -1.00 to 1.00 for the y-axis position of the right joystick. | Functions_(JIP); Controller Functions (JIP); Condition_Functions; Input Functions; Functions_(Command Extender); Functions (FO3)
GetRightTrigger | LU | GetRightTrigger() -> float (alias: GetRTr) | Returns a value ranging from 0.00 to 1.00 for how far the right trigger is depressed. | Functions_(JIP); Controller Functions (JIP); Condition_Functions; Input Functions; Functions_(Command Extender); Functions (FO3)
GetRigidBodyMass | JIP | reference.GetRigidBodyMass() -> bodyMass:float | Returns a value in the range of 0-100, indicating the 'Mass' of the calling object. The 'Mass' determines how much the object moves when hit by a projectile/explosion, or bumped into. A value of 100 translates as no movement. | Functions (JIP); Misc Reference Functions (JIP)
GetRunSpeed | JohnnyGuitar | [Actor].GetRunSpeed() -> float | Returns the Actor's run speed. | Functions (JohnnyGuitar NVSE); Actor Functions
GetSaidOnce | JohnnyGuitar | GetSaidOnce(TopicInfo:form) -> bool | Returns the value of the 'SaidOnce' flag on the specified Topic Info. | Functions (JohnnyGuitar NVSE); Dialogue Functions
GetSandman |  | GetSandman() |  | Functions (GECK); Condition Functions; Functions (FO3)
GetScale | GECK1 | [Object].GetScale() -> float | 'GetScale' returns the raw scale of the selected reference object. Normal scale is 1.00 (100%). | Functions (GECK); Object_Functions; Condition Functions; Scale Functions; Functions (FO3)
GetScopeModelPath | NVSE | GetScopeModelPath(ToGetScopeOf:weapon) -> string | Returns the path to the scope model of the specified weapon. | Functions_(NVSE); Weapon Functions; File Functions; Model Functions
GetScript | FOSE1 | reference.GetScript(ScriptableObject:baseform?) -> BaseForm | Returns the script of a scriptable BaseForm. If ScriptableObject is omitted and a calling reference is provided, that reference's BaseForm is used. | Functions_(FOSE); Functions_(NVSE); Script Functions; Functions (FO3)
GetScriptDisabled | JIP | GetScriptDisabled(script:ref) -> disabled:0/1 | Returns whether or not the specified 'Script' has been disabled by SetScriptDisabled. | Functions (JIP); Script Functions (JIP); Script_Functions
GetScriptEventDisabled | JIP | GetScriptEventDisabled(anyForm:ref, eventName:string) -> disabled:0/1 | Returns whether or not the specified script-'Event Block' (i.e. <i>OnActivate</i>, <i>OnAdd</i>, <i>OnTrigger</i>, etc.) has been disabled (by SetScriptEventDisabled) in the 'Script' (if any) of the specified form (which may be a reference or a baseForm). | Functions (JIP); Script Functions (JIP); Script_Functions
GetScriptVariable | GECK1 | GetScriptVariable(ObjectRef:ref, VarName:String) | Returns the value of a local variable in the specified object's script. | Functions (GECK); Miscellaneous Functions; Condition Functions; Functions (FO3)
GetSecondsPassed | GECK1 | GetSecondsPassed() -> float | Returns the number of real life seconds that have passed since this function was last called by the calling script. | Functions (GECK); Time Functions; Condition Functions; Functions (FO3)
GetSelectedItemRef | JIP | GetSelectedItemRef() -> selectedItem:ref | Returns the form currently highlighted in the active menu. The function returns either a temporary Inventory Reference, or a 'Base Form', depending on the menu type: 'Inventory Reference': *'Inventory Menu' (1002) *'Container Menu' (1008) *'Pipboy Repair Menu' (1035) *'Barter Menu' (1053) *'Vendor Repair Menu' (1058) *'Item Mod Menu' (1061) 'Base Form:' *'Pipboy DATA Menu' (1023) - Quest/Note/Challenge *'Pipboy STATS Menu' (1003) - Perk | Functions_(JIP); UI Functions (JIP); UI Functions; Inventory Functions; Inventory Reference Functions
GetSelf | GECK1 | GetSelf() (alias: this) | Returns the RefID of the calling reference. GetSelf is only useful when this information is accessed externally, or when the scripted reference's RefID needs to be passed as a parameter to a function like PushActorAway Returns null if there is no valid calling reference, OR if the calling reference happens to be a non-Persistent Item. This latter property can cause issues with scripts that run on items; see GetSelfAlt for a safer alternative. | Functions (GECK); Reference Variable Functions; ID Functions; Functions (FO3)
GetSelfAlt | NVSE | GetSelfAlt() (alias: ThisAlt) | Returns the calling reference, or a null form if there is none. Only useful when this information is accessed externally, or when the scripted reference needs to be passed as a parameter to a function like PushActorAway Unlike GetSelf, this will always return the calling reference, even if it happens to be a non-Persistent Item. If that check is not needed, then this is a strictly faster version of that function. | Functions (NVSE); Reference Variable Functions; ID Functions
GetSelfAsInventoryRef | JIP | GetSelfAsInventoryRef() -> inventoryRef:ref | When called from the script of an object that is inside a container/inventory, the function will return the object as an Inventory Reference, which may then be used with any of the Inventory Reference Functions scope. | Functions (JIP); Inventory Functions (JIP); Inventory Reference Functions; Inventory Functions
GetSelfModIndex | LU | GetSelfModIndex() -> int | Returns the mod index of the script that calls the function. (A quick shortcut for MCM scripting.) | Functions_(JIP); File_Functions_(JIP); File Functions
GetServiceFlag | LU | GetServiceFlag(NPC:form, flagID:int) -> flagSet:0/1 | Returns whether or not the specified 'NPC' form has the specified buy/sell/service flag set. | Functions (JIP); Actor Functions (JIP); Actor Functions; Flag Functions
GetSessionTime | JIP | GetSessionTime() -> float | Returns a float of the game's current session duration in seconds. | Functions_(JIP); Time Functions
GetShowOffDebugMode | ShowOff | GetShowOffDebugMode() -> 0/1 | Returns 1 (true) if print messages are enabled for certain ShowOff NVSE functions, 0 (false) otherwise. Not particularly useful for most modmakers; this exists more-so to aid in ShowOff's development. | Debugging; Functions (ShowOff NVSE)
GetShowQuestItems | LU | GetShowQuestItems() -> bool | Returns whether or not quest items are visible in inventories (as set with vanilla function SetShowQuestItems). | Functions_(JIP); Miscellaneous_Functions_(JIP); Quest Functions
GetSitting | GECK1 | [Actor].GetSitting() -> int | GetSitting returns a value based on the calling actors current sitting state. | Functions (GECK); Actor Functions; Condition Functions; Functions (FO3)
GetSkeletonModel | JIP | GetSkeletonModel(actorBase:form) -> modelPath:string_var | Returns the 'Skeleton' model path of the specified 'NPC/Creature' form. | Functions (JIP); Actor Functions (JIP); File Functions; Model Functions
GetSleeping | GECK1 | [Actor].GetSleeping() -> int | Returns a value based on the actor's current sleeping state | Functions (GECK); Actor State Functions; Condition Functions; Actor Functions; Functions (FO3)
GetSleepWaitMenuState | JohnnyGuitar | GetSleepWaitMenuState() | Returns the SleepWaitMenu state. 0 = Closed 1 = Wait 2 = Sleep | Functions (JohnnyGuitar NVSE)
GetSoldItemInvRef | NVSE | GetSoldItemInvRef() -> soldItem:reference | Returns an Inventory Reference of the currently sold item for an OnSell event. Does NOT work inside the OnSell blocktype. | Functions (NVSE); Inventory Functions; Inventory Reference Functions
GetSoundFlag | JIP | GetSoundFlag(sound:ref, flagID:int) -> flagValue:0/1 | Returns a Sound's flag value (determined by <i>flagID</i>). | Functions_(JIP); Sound Functions (JIP); Sound_Functions; Flag Functions
GetSoundPlayers | JIP | GetSoundPlayers(sound:ref) -> soundPlayers:array_var | Returns an 'array_var' containing all object references currently playing the specified 'Sound'. | Functions (JIP); Sound Functions (JIP); Sound_Functions; Array Functions
GetSoundSourceFile | JIP | GetSoundSourceFile(sound:ref) -> filePath:string_var | Returns the source sound file/folder path used by the specified Sound. | Functions_(JIP); Sound Functions (JIP); Sound_Functions; File Functions
GetSoundTraitNumeric | JIP | GetSoundTraitNumeric(sound:ref, traitID:int) -> traitValue:float | Returns the value of a Sound's numeric trait (determined by <i>traitID</i>). | Functions_(JIP); Sound Functions (JIP); Sound_Functions
GetSourceModIndex | FOSE1 | worldRefr.GetSourceModIndex(item:baseform) -> int | Returns the index (load order) of the mod to which the specified form belongs. | Debugging; Functions_(FOSE); Functions_(NVSE); File Functions; Functions (FO3)
GetSpellUsageNumEx | ShowOff | Actor.GetSpellUsageNumEx(Ingestible:form) -> float | Similar to the vanilla function GetSpellUsageNum - returns the number of times an Ingestible has been used by an actor. The function works on ingestibles that have a Usage Monitor Effect attached to them, and return value is multiplied by effect magnitude. However, unlike the vanilla version, which only returns a value while the ingestible's effect is active, this function allows checking the value at any time. It also correctly accounts for any Usage Monitor Effect set to decrease with time. | Functions (ShowOff NVSE); Game Effect Functions; Condition Functions
GetStage | GECK1 | GetStage(questID:form) -> int | Gets the highest completed quest stage. For example, if stages 10, 30, and 75 were completed, GetStage would return 75. Even when stage 30 is completed after stage 75, GetStage will still return 75 (i.e. the highest one). If you need to know if a certain quest stage is completed, use GetStageDone instead. | Functions (GECK); Quest Functions; Condition Functions; Functions (FO3)
GetStageDone | GECK1 | GetStageDone(questID:form, questStage:int) -> bool | Returns 1 if the specified stage for the specified Quest has been completed, 0 otherwise. | Functions (GECK); Quest Functions; Condition Functions; Functions (FO3)
GetStartingAngle | GECK1 | [Object].GetStartingAngle(axis:) -> float | Returns the original world rotation angle of the object on the selected axis (X, Y, or Z) in float. The angle is the angle the object was placed in the editor, not it's current game state. | Functions (GECK); Movement Functions; Condition Functions; Functions (FO3)
GetStartingPos | GECK1 | [Object].GetStartingPos(axis:) -> float | Returns the original world position of the object on the selected axis (X, Y, or Z) in float. The returned position is the position the object was placed in the editor, not it's current game state. | Functions (GECK); Movement Functions; Condition Functions; Functions (FO3)
GetStringGameSetting | NVSE | GetStringGameSetting(SettingName:string) -> string | Returns the value of the specified string game setting. | Functions_(NVSE); String Functions; GameSetting Functions
GetStringIniSetting | NVSE | GetStringIniSetting(Setting:string) -> string | Returns the value of a string ini setting found in 'Fallout.ini' / 'FalloutPrefs.ini' / 'FalloutCustom.ini', which is specified as a single string in the format: "settingName:settingGroup". The ':' seems to be expected by the engine. | Functions_(NVSE); File Functions; INI Functions
GetStringSetting | LU | GetStringSetting(setting:string) -> string | Returns the value of a string Game Setting (NVSE GetStringGameSetting doesn't work correctly). | Functions_(JIP); Miscellaneous Functions (JIP); GameSetting Functions
GetStringUIDimensions | JIP | GetStringUIDimensions(text:string, fontID:int, wrapWidth:float, resWidth:ScriptVar, resHeight:ScriptVar, resNumLines:ScriptVar) | The function takes a string, a font ID (equivalent to XML &#60;font&#62;), and a horizontal wrap-width (equivalent to XML &#60;wrapwidth&#62;), and outputs into the 3 specified 'Script Variables' the string's simulated UI dimensions (width, height and number of lines) were it to be assigned to a 'Text'-type UI tile. | Functions (JIP); UI Functions (JIP)
GetTalkedToPC | GECK1 | [Actor].GetTalkedToPC() -> int | Returns 1 if the NPC has ever spoken to the player, 0 otherwise. | Functions (GECK); Actor State Functions; Condition Functions; Functions (FO3)
GetTalkedToPCParam | GECK1 | GetTalkedToPCParam(Actor:ref) -> int | Returns 1 if the NPC has ever spoken to the player, 0 otherwise. Functionally identical to GetTalkedToPC but an NPC is passed as an argument instead of using a calling reference. | Functions (GECK); Actor State Functions; Condition Functions; Functions (FO3)
GetTargetUnreachable | JIP | reference.GetTargetUnreachable() -> unreachable:0/1 | Returns whether the calling actor is currently "stuck" and unable to find a path for reaching the target of their AI package. | Functions (JIP); Actor Functions (JIP); Condition Functions
GetTeammates | JIP | GetTeammates() -> teammates:array_var | Returns an array_var of all the actors currently toggled as player's <i>Teammates</i>. | Functions (JIP); Actor Functions (JIP); Actor_Functions; Array Functions; Follower Functions
GetTeleportCell | FOSE1 | reference.GetTeleportCell() -> baseForm | Returns the Cell to which the calling Door reference teleports. | Functions_(FOSE); Functions_(NVSE); Cell Functions; Functions (FO3)
GetTeleportDoor | JIP | reference.GetTeleportDoor() -> linkedDoor:refr | When called on a 'Door' reference which teleports to another cell, returns the Door reference teleported to in the other cell. | Functions (JIP); Misc Reference Functions (JIP); Door Functions
GetTempEffects | JIP | reference.GetTempEffects() -> tempEffects:array_var | Returns a two-dimensional 'array_var' containing all temporary effect-entries (i.e. with limited duration) currently active on the calling actor, and their attributes. The elements in the main array are sub-arrays. Each sub-array contains the attribute values of one effect-entry, and has a total of 6 elements, ordered as follows: <pre>Index&#09;Attribute -----&#09;--------- 0&#09;Parent Effect-Form (Object Effect/Actor Effect/Ingestible) : ref 1&#09;Base Effect form : ref 2&#09;Magnitude : float 3&#09;Time Left : float 4&#09;Effect "caster" (the actor who applied the effect) : ref 5&#09;Duration : float</pre> | Functions_(JIP); Effect Functions (JIP); Game Effect Functions; Array Functions
GetTempIngestibleEffects | JohnnyGuitar | GetTempIngestibleEffects() -> tempEffects:array_var | Returns a two-dimensional 'array_var' containing all Ingestible forms currently having an effect on the player, their duration and remaining time. The elements in the array are structured as follows: <pre>Index&#09;Attribute -----&#09;--------- 0&#09;Ingestible: form 1&#09;Time Left : float 2&#09;Duration : float</pre> | Functions_(JohnnyGuitar NVSE)
GetTerminalLock | LU | [terminalRef].GetTerminalLock(terminal:form?) -> int | Returns the lock level of a terminal's base form regardless of locked state. See GetLockLevel for the return values. | Terminal_Functions; Functions_(JIP); Misc_Reference_Functions_(JIP)
GetTerrainHeight | JIP | GetTerrainHeight(xCoord:float, yCoord:float) -> height:float | Returns the height of the <i>terrain mesh</i> at the specified (x, y) coordinates, within the current exterior <i>worldspace</i>. | Functions_(JIP); Miscellaneous Functions (JIP); Movement Functions
GetTexturePath | NVSE | reference.GetTexturePath(Object:form?) -> Path:string | Returns the file path to the texture for the specified object or calling reference. This command is identical to GetIconPath, but also works for other object types such as skills, classes, and miscellaneous objects. | Functions_(NVSE); String Functions; File Functions; Texture Functions
GetTextureSetFlag | JIP | GetTextureSetFlag(textureSet:ref, flagID:int) -> flagValue:0/1 | Returns a Texture-Set's flag value (determined by <i>flagID</i>). | Functions_(JIP); Texture-Set Functions (JIP); Flag Functions
GetTextureSetTexture | JIP | GetTextureSetTexture(textureSet:ref, mapID:int) -> texturePath:string_var | Returns the texture path of the specified <i>mapID</i> of a Texture-Set. | Functions_(JIP); Texture-Set Functions (JIP)
GetTextureSetTraitNumeric | JIP | GetTextureSetTraitNumeric(textureSet:ref, traitID:int) -> traitValue:float | Returns the value of a Texture-Set's numeric trait (determined by <i>traitID</i>). | Functions_(JIP); Texture-Set Functions (JIP)
GetTFC | NVSE | GetTFC() -> int | Returns whether or not the fly camera is currently active. | Functions_(NVSE); Condition Functions
